Library	No. of ROP gadgets	Not touching memory	No.of JOP gadgets	Not touching memory
libflexos	38	30	9	8
libnewlibm	3453	1711	117	25
libpthread-embedded	2245	1147	239	12
libukalloc	157	107	272	119
libuklock	29	9	9	8
libkvmvirtio	434	242	213	49
redis_kvm-x86_64	77214	41183	11260	2455
libredis_server	25712	13343	1979	837
libposix_sysinfo	148	72	9	8
libukboot	69	33	104	49
libuksglist	116	87	18	7
libukschedcoop	89	58	10	7
libredis_common	1933	877	534	115
libuktimeconv	111	66	9	8
libposix_process	534	225	9	8
libukargparse	35	24	9	8
libkvmplat	1260	732	113	37
libramfs	283	202	33	7
libukallocbbuddy	142	101	9	8
libtlsf	275	125	16	8
libukswrand	98	57	9	8
libukmpi	111	86	73	10
libposix_user	479	145	9	8
liblwip	8703	4568	1657	377
libredis_lua	7772	4506	484	198
libkvmpci	98	62	58	13
libuksignal	454	246	87	11
libnewlibc	14310	7513	2052	230
libkvmvirtionet	332	196	300	52
libukboot_main	20	12	18	7
libnewlibglue	1154	607	123	11
libuksched	339	170	582	55
libposix_libdl	65	21	9	8
libukdebug	236	159	14	7
libuknetdev	330	173	271	103
libdevfs	377	239	126	60
libukbus	98	40	30	18
libredis_hiredis	1722	949	1093	165
libuklibparam	85	44	13	7
libvfscore	3346	2288	882	55
libuktime	352	184	10	7
